Ticker,Sector,ROIC,Volatility,Dividend_Yield,Price_CAGR,TotalRevenue,EV_EBITDA,Cluster
MMM,Industrials,0.4207456553573274,0.3031747845094011,1.81,0.2107678732511848,24575000000.0,12.74501093611827,0
AOS,Industrials,0.2895302743903421,0.2553425806207654,2.02,0.0874531990635612,3818100000.0,12.135190296249206,0
ABT,Health Care,0.1375002269879605,0.2005548359073389,2.01,0.0759072571761751,41950000000.0,20.678373949212236,0
ABBV,Health Care,0.100454230502733,0.2320195337636687,3.11,0.1554677173046248,56334000000.0,30.652558577062376,0
ACN,Information Technology,0.2869828002763782,0.2521256626233209,2.42,0.0345392571372664,69672977000.0,13.963514510294774,0
ADBE,Information Technology,0.4539026637495598,0.3328134422611579,0.0,0.0268144943880834,21505000000.0,18.653483594319468,0
AMD,Information Technology,0.0300462035237705,0.5225889943564316,0.0,0.4623176834703015,25785000000.0,61.61297615214911,1
AES,Utilities,0.0713596455872343,0.4091085693201335,5.14,-0.1795292256932004,12278000000.0,12.776232406258575,0
A,Health Care,0.1721770325383071,0.2821571145545204,0.75,-0.0162745603699224,6510000000.0,21.51288486659552,0
APD,Materials,-0.0056434101937023,0.2683228336598584,2.94,-0.0575389714181283,12037300000.0,54.68595783775701,0
ABNB,Consumer Discretionary,0.5282467117924765,0.3802400982812962,0.0,0.1602869539288696,11102000000.0,27.440336867838045,0
AKAM,Information Technology,0.058724586533701,0.3266433727199966,0.0,0.0172958330057477,3991168000.0,13.340541321463082,0
ALB,Materials,-0.1290440361321944,0.5587756074516262,1.15,-0.1434915236977687,5377526000.0,-20.676773273320865,0
ALGN,Health Care,0.1587836130442405,0.4931696032572079,0.0,-0.0672309749460571,3999012000.0,13.099935700136388,0
ALLE,Industrials,0.2285121462679466,0.2418000587291185,1.28,0.1676823964883984,3772200000.0,17.085485644705372,0
LNT,Utilities,0.0591494027352992,0.1864849712013873,3.09,0.1032945946370547,3981000000.0,15.611494855870896,0
GOOGL,Communication Services,0.306781976558428,0.3036003206652837,0.28,0.5128978851842456,350018000000.0,26.55570957507718,0
GOOG,Communication Services,0.306781976558428,0.301848596670216,0.28,0.5109776249085378,350018000000.0,26.670682432131407,0
MO,Consumer Staples,0.6232290353280873,0.1830611811961158,7.26,0.1709291668922976,20444000000.0,7.983582972126361,0
AMZN,Consumer Discretionary,0.1816969869393437,0.3210907562221428,0.0,0.389159020215557,637959000000.0,20.113511032685864,0
AMCR,Materials,0.0319871027887547,0.2289660346095884,6.24,-0.077057719596903,15009000000.0,19.34767956561086,0
AEE,Utilities,0.0586029413454914,0.1895287144810596,2.86,0.0771504843017414,7623000000.0,13.300479565856415,0
AEP,Utilities,0.0649028946108957,0.1964897372663102,3.29,0.113323733468454,19721300000.0,13.527554750138917,0
AWK,Utilities,0.059782663558907,0.2202946777249355,2.49,-0.0209995793413049,4684000000.0,15.388515523595506,0
AME,Industrials,0.1287414428492568,0.2102524050992362,0.61,0.1462707240379273,6941180000.0,22.61913073530148,0
AMGN,Health Care,0.1275804824082903,0.2480610374326928,2.98,0.1039636941700867,33424000000.0,16.45971037076969,0
APH,Information Technology,0.1959053734524278,0.2814246990532356,0.77,0.5212775513221437,15222700000.0,42.85669345399064,0
ADI,Information Technology,0.063354020434162,0.3285378562117071,1.44,0.2068203521948495,11019707000.0,27.825323981893437,0
APA,Energy,0.12847095851957,0.4373586810513798,4.2,-0.1542896102082595,9737000000.0,3.224406968854816,0
AAPL,Information Technology,0.8228358730470098,0.2587070859069031,0.38,0.2792426606159335,416161000000.0,28.18453853416973,0
AMAT,Information Technology,0.3560644991391422,0.4120823514683305,0.73,0.3596542570774956,28368000000.0,19.99881136441103,0
APP,Information Technology,0.4851104227296986,0.750028054423125,0.0,3.2079510663604958,4709248000.0,100.94597677367588,1
APTV,Consumer Discretionary,0.138418614400486,0.3568184841355195,0.0,-0.0591985736619615,19713000000.0,6.83012805561993,0
ADM,Consumer Staples,0.0705838630911683,0.2855319147259449,3.5,-0.1154639110021852,85530000000.0,8.836473946367626,0
T,Communication Services,0.0711279779349352,0.2334855805158954,4.58,0.1723691384707628,122336000000.0,7.489975159434112,0
ATO,Utilities,0.0590472192684083,0.1706530131100295,2.36,0.1724745777926835,4702755000.0,15.305331714516136,0
ADSK,Information Technology,0.3071622387262253,0.288399055712662,0.0,0.167421670129737,6131000000.0,41.24201316978696,0
ADP,Industrials,0.3720907549247871,0.1895725918535412,2.61,0.044122312214855,20560900000.0,16.969061377354922,0
AZO,Consumer Discretionary,0.3355061504918465,0.2163983357673787,0.0,0.1300404712291347,18938717000.0,16.219477140995487,0
AVY,Materials,0.1541058793830556,0.2191472941415991,2.05,0.0313612499472899,8755700000.0,12.557320812902292,0
AXON,Industrials,0.1480246176291406,0.451300832308407,0.0,0.5004053206242798,2082526000.0,100.9159337432241,1
BKR,Energy,0.1631591848920044,0.3052380320404871,2.07,0.1917631326721771,27829000000.0,10.31003100152207,0
BALL,Materials,0.0584188495458733,0.2766769898077669,1.53,0.0265516282427733,11795000000.0,14.52964773480663,0
BAX,Health Care,0.0063810391978122,0.3470801818237854,2.73,-0.2569253008165745,10636000000.0,15.915809949820789,0
BDX,Health Care,0.0506452135622945,0.2341580003873923,2.16,-0.0617965826143657,21840000000.0,15.121466679580308,0
BBY,Consumer Discretionary,0.1815918620007206,0.3473784114306763,5.3,0.0127211820600201,41528000000.0,8.160596716094032,0
TECH,Health Care,0.0362356632669755,0.3753560980963346,0.56,-0.1053683871491876,1219635000.0,42.17367667089337,0
